id пользователя;Вильямс;Шварц;Медник;Триандис;Друзья;Подписки;Подписки образование;Подписки опасные;% Подписки образование;% Подписки опасные;9_иностранные языки;8_философия;12_психология/педагогика;10_история/обществознание;7_филология/литература;5_техника и технологии;11_искусство/культура;4_математика;2_науки о земле;4_информатика;6_физика;3_химия;1_биология/медицина;3_16_юриспруденция;Преступный контент;Самоповреждающее поведение;Эстетика зла;Ненависть и агрессия и агрессия;Оружие ;Психоактивные вещества;Национализм;Депрессивный контент;Субкультура True Crime;Вульгарный контент;Суицидальный контент;Жестокий контент;Эстетика смерти;Оружие
6110;2;2;2;1;82;275;2;12;0,7%;4,4%;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;3;1;4;0;1;1;0;0;0
6106;3;2;3;3;155;105;1;0;1,0%;0,0%;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6114;2;3;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6115;1;2;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6111;2;1;;2;728;192;7;0;3,6%;0,0%;0;0;1;2;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6117;2;3;3;1;140;37;0;1;0,0%;2,7%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6128;2;2;3;3;354;163;9;15;5,5%;9,2%;0;0;2;1;0;0;0;1;0;0;0;4;1;0;0;0;2;1;0;0;0;4;0;4;2;2;0;0
6129;2;2;1;1;103;60;0;0;0,0%;0,0%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6130;2;2;2;2;150;256;3;14;1,2%;5,5%;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;4;0;0;0;0
6122;2;3;2;1;132;59;1;2;1,7%;3,4%;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0
6133;2;3;3;3;147;256;9;1;3,5%;0,4%;1;0;4;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
6121;2;1;2;2;110;47;2;1;4,3%;2,1%;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6131;3;3;3;1;166;56;0;1;0,0%;1,8%;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
6125;2;3;2;2;389;128;4;12;3,1%;9,4%;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;3;2;0;0;1;0;0;1;5;0;0;0;0
6124;2;2;2;1;151;40;2;0;5,0%;0,0%;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6123;2;2;2;1;704;237;6;1;2,5%;0,4%;0;0;1;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
6127;2;2;2;2;207;82;7;0;8,5%;0,0%;4;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6126;2;2;3;1;55;224;3;25;1,3%;11,2%;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;2;1;5;0;3;1;6;2;1;2;1;1;0
6134;2;2;2;1;126;262;10;1;3,8%;0,4%;3;0;0;0;1;4;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
6132;3;3;2;2;34;141;8;1;5,7%;0,7%;6;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
6135;2;3;3;2;118;244;11;12;4,5%;4,9%;0;1;0;3;1;1;0;0;0;0;0;0;5;0;0;0;0;1;0;0;0;5;3;3;0;0;0;0
6120;3;3;3;2;129;71;2;1;2,8%;1,4%;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
6087;2;3;1;1;85;19;1;1;5,3%;5,3%;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
6136;2;2;1;2;198;107;1;2;0,9%;1,9%;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0
6143;2;3;1;2;542;224;5;2;2,2%;0,9%;1;0;1;0;0;1;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
6142;2;2;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6141;2;2;2;2;649;28;1;1;3,6%;3,6%;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
6148;2;1;3;3;10;80;1;1;1,3%;1,3%;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
6144;2;3;1;1;175;349;3;0;0,9%;0,0%;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
